phase,block,trial,sf,ori,label,catType

train,Train-1,1,3.81,8.30,B,II1
train,Train-1,2,6.11,-28.45,B,II1
train,Train-1,3,6.50,-49.50,B,II1
train,Train-1,4,5.98,-40.62,B,II1
train,Train-1,5,4.89,-23.05,B,II1
train,Train-1,6,6.15,-12.75,A,II1
train,Train-1,7,5.58,-3.48,A,II1
train,Train-1,8,4.92,-17.97,B,II1
train,Train-1,9,5.30,9.71,A,II1
train,Train-1,10,7.24,-39.09,A,II1
train,Train-1,11,6.82,-20.67,A,II1
train,Train-1,12,5.18,-15.53,B,II1
train,Train-1,13,4.39,10.50,B,II1
train,Train-1,14,4.40,23.94,A,II1
train,Train-1,15,6.55,-16.82,A,II1
train,Train-1,16,4.67,34.05,A,II1
train,Train-1,17,4.99,13.83,A,II1
train,Train-1,18,6.64,-13.12,A,II1
train,Train-1,19,5.38,-17.72,B,II1
train,Train-1,20,5.42,-2.49,A,II1
train,Train-1,21,6.25,-47.68,B,II1
train,Train-1,22,3.49,-4.50,B,II1
train,Train-1,23,5.25,8.87,A,II1
train,Train-1,24,5.99,-9.37,A,II1
train,Train-1,25,5.50,11.39,A,II1
train,Train-1,26,4.75,-9.86,B,II1
train,Train-1,27,4.89,19.98,A,II1
train,Train-1,28,6.12,-6.22,A,II1
train,Train-1,29,6.56,-19.56,A,II1
train,Train-1,30,3.00,37.23,B,II1
train,Train-1,31,2.74,22.83,B,II1
train,Train-1,32,2.67,27.76,B,II1
train,Train-1,33,5.52,-36.22,B,II1
train,Train-1,34,6.41,0.02,A,II1
train,Train-1,35,7.67,-12.27,A,II1
train,Train-1,36,2.85,29.76,B,II1
train,Train-1,37,5.01,-9.40,B,II1
train,Train-1,38,3.74,5.02,B,II1
train,Train-1,39,6.89,-50.67,B,II1
train,Train-1,40,8.00,-39.45,A,II1
train,Train-1,41,2.58,35.09,B,II1
train,Train-1,42,4.70,13.69,A,II1
train,Train-1,43,3.87,6.59,B,II1
train,Train-1,44,3.94,28.87,A,II1
train,Train-1,45,4.77,-5.13,B,II1
train,Train-1,46,3.73,40.16,A,II1
train,Train-1,47,4.28,-2.73,B,II1
train,Train-1,48,3.07,17.31,B,II1
train,Train-1,49,5.71,-1.72,A,II1
train,Train-1,50,6.14,3.03,A,II1
train,Train-2,51,4.83,-20.18,B,II1
train,Train-2,52,5.42,-22.09,B,II1
train,Train-2,53,6.07,-11.39,A,II1
train,Train-2,54,5.64,-7.73,A,II1
train,Train-2,55,4.40,-7.18,B,II1
train,Train-2,56,4.22,-1.99,B,II1
train,Train-2,57,2.94,26.28,B,II1
train,Train-2,58,5.79,-30.28,B,II1
train,Train-2,59,4.94,13.78,A,II1
train,Train-2,60,5.36,11.64,A,II1
train,Train-2,61,6.41,-15.20,A,II1
train,Train-2,62,5.34,9.59,A,II1
train,Train-2,63,6.48,-10.61,A,II1
train,Train-2,64,4.70,-17.10,B,II1
