phase,block,trial,sf,ori,label
train,1,1,3.6391,-37.0854,A
train,1,2,6.7416,6.7851,A
train,1,3,5.7064,-11.0467,A
train,1,4,6.5157,18.3515,A
train,1,5,4.8316,11.3723,B
train,1,6,4.7081,3.8643,B
train,1,7,4.4058,-29.3882,A
train,1,8,4.6710,-8.6049,A
train,1,9,5.4327,30.2363,B
train,1,10,3.8893,19.4835,B
train,1,11,5.9115,19.0748,B
train,1,12,4.0071,-22.5432,A
train,1,13,5.4129,-2.6703,A
train,1,14,5.1429,20.5818,B
train,1,15,4.5174,16.3452,B
train,1,16,6.6787,22.5594,A
train,1,17,3.4326,-15.9518,B
train,1,18,3.2034,-41.6487,A
train,1,19,4.5642,-13.7295,A
train,1,20,5.4983,5.8165,A
train,1,21,5.4529,27.1140,B
train,1,22,3.9231,-19.0894,B
train,1,23,5.9054,23.5729,B
train,1,24,5.0390,20.8632,B
train,1,25,5.5946,-11.0810,A
train,1,26,5.9736,12.9994,A
train,1,27,5.5833,0.6233,A
train,1,28,5.1467,-13.4017,A
train,1,29,5.3425,17.3469,B
train,1,30,3.2428,-1.2463,B
train,1,31,5.0696,17.5543,B
train,1,32,5.6206,-1.6085,A
train,1,33,5.3941,-5.9013,A
train,1,34,3.6206,8.0604,B
train,1,35,6.9231,12.5039,A
train,1,36,3.8500,-1.5076,B
train,1,37,4.8551,-20.9901,A
train,1,38,5.5130,-15.4745,A
train,1,39,3.9998,3.9158,B
train,1,40,4.2170,-14.3525,B
train,1,41,5.9072,-0.7086,A
train,1,42,5.2046,24.2106,B
train,1,43,4.8006,13.8283,B
train,1,44,5.2798,19.1242,B
train,1,45,6.9368,22.2118,A
train,1,46,4.0925,8.8102,B
train,1,47,4.1072,31.6687,B
train,1,48,5.7318,-13.4704,A
train,1,49,5.8107,33.0893,B
train,1,50,5.1691,-6.0490,A
train,2,51,5.6566,12.8545,A
train,2,52,4.9373,-13.1225,A
train,2,53,4.9371,11.8751,B
train,2,54,5.9086,-21.5901,A
train,2,55,4.0803,-41.3340,A
train,2,56,5.0722,-4.9375,A
train,2,57,3.7440,-23.1448,B
train,2,58,6.3158,0.3054,A
train,2,59,6.0140,3.8266,A
train,2,60,6.3614,8.1259,A
train,2,61,4.8412,15.2396,B
train,2,62,4.1824,7.2041,B
train,2,63,4.9962,10.4661,B
train,2,64,5.4318,18.5254,B
train,2,65,4.7618,-21.1389,A
train,2,66,4.8258,-21.8913,A
train,2,67,5.5210,0.0602,A
train,2,68,4.8336,5.7829,B
train,2,69,4.5989,-21.9001,A
train,2,70,5.0560,-17.3950,A
train,2,71,4.3180,-2.9838,B
train,2,72,4.4120,5.2286,B
train,2,73,5.4614,20.5607,B
train,2,74,4.0750,4.2588,B
train,2,75,6.0761,8.1202,A
train,2,76,4.3756,-1.9868,B
train,2,77,4.6307,3.5536,B
train,2,78,4.1337,-10.1190,B
train,2,79,5.1749,-7.4261,A
train,2,80,5.3126,21.4379,B
train,2,81,5.3183,-19.4728,A
train,2,82,5.0154,9.6069,B
train,2,83,4.8743,-1.4136,B
train,2,84,2.7958,-25.6905,B
train,2,85,4.9824,16.2682,B
train,2,86,5.1844,-4.0478,A
train,2,87,5.1222,-5.1211,A
train,2,88,4.5646,-29.3386,A
train,2,89,5.6442,30.6365,B
train,2,90,5.8275,24.8982,B
train,2,91,6.0759,-3.8310,A
train,2,92,5.4783,-9.8763,A
train,2,93,4.9892,-11.0535,A
train,2,94,4.4731,-18.1923,A
train,2,95,4.5162,15.7573,B
train,2,96,4.6376,11.2430,B
train,2,97,3.0116,-11.6094,B
train,2,98,4.7003,-13.7867,A
train,2,99,4.9971,-12.0946,A
train,2,100,6.4950,45.5085,B
train,3,101,3.3155,-2.9383,B
train,3,102,6.4265,6.7711,A
train,3,103,5.9130,7.2757,A
train,3,104,4.9332,9.4004,B
train,3,105,4.6170,5.1552,B
train,3,106,5.9348,7.2060,A
train,3,107,3.7600,16.7889,B
train,3,108,5.8066,-9.3539,A
train,3,109,5.1528,12.9329,B
train,3,110,5.5525,22.0692,B
train,3,111,5.6024,7.5670,A
train,3,112,5.4017,-3.4994,A
train,3,113,5.5384,5.7726,A
train,3,114,5.2038,17.2584,B
train,3,115,5.9909,34.2347,B
train,3,116,3.6463,-23.0303,B
train,3,117,4.4794,-12.6532,A
train,3,118,4.2923,-0.6744,B
